"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "TypeScript", "XML", "Vue", "comment", "blank", "total"
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\package.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\public\index.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 1, 1, 20
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 57, 0, 3, 60
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\babylon\KeyInput.ts", "TypeScript", 0, 0, 0, 0, 121, 0, 0, 5, 5, 131
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\babylon\MouseInput.ts", "TypeScript", 0, 0, 0, 0, 143, 0, 0, 2, 5, 150
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\babylon\OldInputControls.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 244, 23, 267
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\babylon\camera.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 5, 6, 58
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\babylon\engineAPI.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 12, 12, 117
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\babylon\lights.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 2, 1, 7
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\components\AssetTree.vue", "Vue", 0, 0, 0, 0, 0, 0, 42, 0, 3, 45
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\components\CappedMultipleSelectBox.vue", "Vue", 0, 0, 0, 0, 0, 0, 50, 8, 3, 61
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\components\CardWrapper.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 1, 3, 19
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\components\ExpandingRadioForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 46, 0, 3, 49
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 0, 0, 56, 0, 4, 60
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\components\NavDrawer.vue", "Vue", 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\components\RadioFormElement.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\components\VerticalTabs.vue", "Vue", 0, 0, 0, 0, 0, 0, 101, 5, 3, 109
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\Alignment.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 3, 37
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\Attribute.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\Items.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\Skills.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 3, 64
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\Spells\Sorcerer\Cantrips.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 0, 0, 2, 103
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\Spells\Sorcerer\Spells1.ts", "TypeScript", 0, 0, 0, 0, 95, 0, 0, 0, 4, 99
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\TitleIDPair.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\Tools.ts", "TypeScript", 0, 0, 0, 0, 118, 0, 0, 0, 3, 121
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\Weapons.ts", "TypeScript", 0, 0, 0, 0, 145, 0, 0, 12, 12, 169
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\dnd\enums.ts", "TypeScript", 0, 0, 0, 0, 162, 0, 0, 4, 13, 179
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\main.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\plugins\vuetify.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\shims-tsx.d.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 2, 2, 14
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\shims-vue.d.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 4, 4, 80
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\store\types.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\AssetManager.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 36, 5, 135
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CampaignCanvas.vue", "Vue", 0, 0, 0, 0, 0, 0, 26, 0, 2, 28
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CampaignCreator.vue", "Vue", 0, 0, 0, 0, 0, 0, 66, 0, 2, 68
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CampaignEditor.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 0, 4, 98
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CampaignSelector.vue", "Vue", 0, 0, 0, 0, 0, 0, 42, 0, 2, 44
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\AbilityScore\AbilityScoreForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 1, 2, 21
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Alignment\AlignmentForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 28, 0, 2, 30
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Background\BackgroundData\AcolyteData.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 11, 1, 91
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Background\BackgroundData\BackgroundData.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 45, 2, 47
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Background\BackgroundForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 80, 0, 11, 91
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Background\BackgroundList.vue", "Vue", 0, 0, 0, 0, 0, 0, 21, 0, 2, 23
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Background\CheckboxGroup.vue", "Vue", 0, 0, 0, 0, 0, 0, 34, 2, 2, 38
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Background\SimpleRadioList.vue", "Vue", 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Class\ClassData\SorcererData.ts", "TypeScript", 0, 0, 0, 0, 142, 0, 0, 21, 4, 167
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Class\ClassForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 71, 14, 12, 97
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Class\ClassList.vue", "Vue", 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\CreateCharacterDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 189, 3, 13, 205
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\CreateCharacterStore.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 30, 6, 52
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Equipment\EquipmentForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 19, 0, 3, 22
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\GenericRaceForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 30, 0, 3, 33
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\Aasimar.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\Dragonborn.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 0, 1, 106
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\Dwarf.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\Elf.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\Gnome.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\HalfElf.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\HalfOrc.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\Halfling.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\Human.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceData\Tiefling.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 1, 108
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\RaceList.vue", "Vue", 0, 0, 0, 0, 0, 0, 37, 1, 3, 41
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Race\Subrace.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\CreateCharacterDialog\Subrace.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\LevelUpDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 55, 0, 6, 61
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 78, 0, 1, 79
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\Logout.vue", "Vue", 0, 0, 0, 0, 0, 0, 17, 0, 4, 21
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\src\views\Signup.vue", "Vue", 0, 0, 0, 0, 0, 0, 93, 1, 2, 96
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\tsconfig.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 68, 9, 111
"c:\Users\Arik\Documents\Babylon\vtt_ts_client\vue.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"Total", "-", 138, 19, 94, 18, 2499, 1, 1576, 558, 275, 5178